review_id,user_id,product_id,category,brand,city,rating,review_text,review_date,helpful_votes,purchase_count_90d,avg_spend_90d,return_rate,sentiment_label,topics_tags,label_bin,kmeans_cluster,dbscan_cluster
R00027,U1066,P2046,Ropa,ClassicLine,San Juan,3,"Para ser Ropa, ClassicLine resultó normal. Destaco sabor, aunque talla no fue ideal. Ni bien ni mal.",2023-07-20,1,1,74.13,0.13,neutral,"wifi,envío,comodidad",0,0,4
R00028,U1340,P2016,Ropa,ClassicLine,Puerto Plata,4,Compré en ClassicLine (Ropa). Me pareció delicioso; garantía y higiene fueron determinantes. Cinco estrellas.,2023-07-13,0,1,57.43,0.14,positivo,"devolución,higiene,envío",1,1,0
R00029,U1336,P2144,Supermercado,Frescura,Atlanta,2,Compré en Frescura (Supermercado). Me pareció sucio; sabor y calidad fueron determinantes. No valió la pena.,2024-08-09,2,0,67.49,0.14,negativo,"ubicación,atención,calidad",0,1,0
R00030,U1219,P2109,Supermercado,MercadoPlus,Santo Domingo,3,"Para ser Supermercado, MercadoPlus resultó esperado. Destaco envío, aunque batería no fue ideal. Ni bien ni mal.",2024-02-25,3,0,25.73,0.09,neutral,"wifi,comodidad,talla",0,0,4
R00031,U1092,P2074,Supermercado,Abarrotes 24,Santiago de los Caballeros,4,"Probé Abarrotes 24 en categoría Supermercado. Experiencia limpio. envío bien, atención regular. Superó mis expectativas.",2023-11-01,3,1,41.59,0.27,positivo,"garantía,talla,devolución",1,1,-1
R00032,U1072,P2013,Ropa,EcoThread,Puerto Plata,3,"Para ser Ropa, EcoThread resultó aceptable. Destaco atención, aunque ubicación no fue ideal. Ni bien ni mal.",2024-01-17,3,1,55.29,0.07,neutral,"talla,batería,envío",0,0,4
R00033,U1189,P2148,Ropa,Fit&Go,Miami,4,El ropa de Fit&Go es duradero. La calidad fue adecuada y la envío podría mejorar. Cinco estrellas.,2023-02-17,1,3,28.04,0.54,positivo,"garantía,talla,sabor",1,2,-1
R00034,U1041,P2147,Ropa,Fit&Go,Atlanta,2,Compré en Fit&Go (Ropa). Me pareció grosero; comodidad y ubicación fueron determinantes. Nunca más.,2023-01-18,1,1,50.59,0.19,negativo,"garantía,ubicación,batería",0,1,0
R00035,U1262,P2094,Ropa,Eleganza,Santo Domingo,3,"Para ser Ropa, Eleganza resultó aceptable. Destaco batería, aunque talla no fue ideal. Nada especial.",2023-02-14,3,0,16.2,0.21,neutral,"calidad,sabor,higiene",0,0,-1
R00036,U1112,P2120,Restaurante,SushiGo,Barcelona,3,"Para ser Restaurante, SushiGo resultó aceptable. Destaco garantía, aunque atención no fue ideal. Cumple lo básico.",2024-01-03,1,2,35.54,0.09,neutral,"higiene,comodidad,envío",0,0,-1
R00037,U1167,P2099,Hotel,Hotel Mar Azul,Lima,4,Compré en Hotel Mar Azul (Hotel). Me pareció amable; precio y ubicación fueron determinantes. Muy recomendado.,2023-12-06,2,0,140.34,0.06,positivo,"calidad,envío,ubicación",1,1,0
R00038,U1286,P2075,Supermercado,MercadoPlus,San Juan,1,El supermercado de MercadoPlus es grosero. La higiene fue adecuada y la envío podría mejorar. No lo recomiendo.,2024-01-05,5,0,61.36,0.04,negativo,"batería,sabor,calidad",0,2,-1
R00039,U1160,P2121,Restaurante,Sabores Doña Ana,Puerto Plata,5,"Para ser Restaurante, Sabores Doña Ana resultó amable. Destaco garantía, aunque calidad no fue ideal. Vale cada peso.",2024-06-27,1,4,44.65,0.12,positivo,"comodidad,higiene,devolución",1,0,-1
R00040,U1316,P2034,Supermercado,Frescura,Lima,2,"Probé Frescura en categoría Supermercado. Experiencia terrible. calidad bien, garantía regular. Nunca más.",2024-07-25,3,0,51.78,0.04,negativo,"ubicación,talla,sabor",0,1,0
R00041,U1040,P2015,Restaurante,Cafeto,Lima,3,El restaurante de Cafeto es promedio. La devolución fue adecuada y la precio podría mejorar. Nada especial.,2023-09-18,1,1,9.46,0.08,neutral,"higiene,garantía,sabor",0,2,-1
R00042,U1261,P2026,Electrónica,TecnoMax,Quito,2,Compré en TecnoMax (Electrónica). Me pareció lento; calidad y atención fueron determinantes. Experiencia decepcionante.,2024-08-13,2,0,11.78,0.0,negativo,"atención,sabor,talla",0,1,0
R00043,U1078,P2056,Supermercado,MercadoPlus,Miami,3,"Probé MercadoPlus en categoría Supermercado. Experiencia promedio. ubicación bien, batería regular. Podría mejorar.",2024-08-06,3,0,105.59,0.03,neutral,"devolución,batería,calidad",0,1,0
R00044,U1289,P2108,Restaurante,El Asadero,Miami,3,"Probé El Asadero en categoría Restaurante. Experiencia estándar. precio bien, wifi regular. Nada especial.",2023-01-09,0,1,36.28,0.22,neutral,"batería,devolución,comodidad",0,1,0
R00045,U1155,P2004,Electrónica,Auralink,Santo Domingo,3,"Probé Auralink en categoría Electrónica. Experiencia aceptable. wifi bien, calidad regular. Nada especial.",2023-10-24,1,2,37.04,0.2,neutral,"devolución,garantía,comodidad",0,1,0
R00046,U1029,P2034,Supermercado,Frescura,Quito,3,"Probé Frescura en categoría Supermercado. Experiencia esperado. comodidad bien, batería regular. Está bien por el precio.",2024-04-15,1,3,73.45,0.12,neutral,"sabor,garantía,calidad",0,1,5
R00047,U1283,P2082,Restaurante,El Asadero,Lima,3,"Probé El Asadero en categoría Restaurante. Experiencia correcto. batería bien, atención regular. Ni bien ni mal.",2024-05-29,2,0,45.22,0.11,neutral,"devolución,talla,envío",0,1,-1
R00048,U1077,P2106,Supermercado,MercadoPlus,New York,4,Compré en MercadoPlus (Supermercado). Me pareció limpio; wifi y talla fueron determinantes. Lo volvería a comprar.,2023-06-05,2,2,10.24,0.21,positivo,"envío,ubicación,calidad",1,1,0
R00049,U1224,P2030,Electrónica,TecnoMax,Ciudad de México,3,"Probé TecnoMax en categoría Electrónica. Experiencia normal. sabor bien, higiene regular. Cumple lo básico.",2024-06-22,3,1,170.44,0.14,neutral,"ubicación,wifi,talla",0,1,0
R00050,U1396,P2095,Supermercado,EcoMarket,Barcelona,4,"Probé EcoMarket en categoría Supermercado. Experiencia excelente. calidad bien, higiene regular. Superó mis expectativas.",2023-08-28,4,0,57.15,0.23,positivo,"sabor,batería,comodidad",1,1,6
R00051,U1129,P2052,Supermercado,EcoMarket,Barcelona,5,"Para ser Supermercado, EcoMarket resultó rápido. Destaco calidad, aunque batería no fue ideal. Superó mis expectativas.",2023-03-11,3,0,25.03,0.29,positivo,"talla,batería,comodidad",1,0,7
R00052,U1335,P2008,Supermercado,MaxiMarket,Miami,4,"Probé MaxiMarket en categoría Supermercado. Experiencia rápido. talla bien, calidad regular. Cinco estrellas.",2023-03-19,2,2,38.05,0.01,positivo,"talla,batería,higiene",1,1,-1
R00053,U1168,P2030,Electrónica,TecnoMax,Santo Domingo,3,"Para ser Electrónica, TecnoMax resultó normal. Destaco batería, aunque talla no fue ideal. Está bien por el precio.",2023-03-23,0,1,10.3,0.16,neutral,"precio,batería,talla",0,0,-1
R00054,U1185,P2074,Supermercado,Abarrotes 24,Santiago de los Caballeros,4,Compré en Abarrotes 24 (Supermercado). Me pareció limpio; atención y garantía fueron determinantes. Vale cada peso.,2024-05-28,2,2,17.89,0.22,positivo,"garantía,precio,atención",1,1,0
R00055,U1151,P2002,Ropa,ClassicLine,Quito,2,Compré en ClassicLine (Ropa). Me pareció débil; envío y talla fueron determinantes. No valió la pena.,2023-09-16,0,0,52.78,0.06,negativo,"devolución,calidad,wifi",0,1,0
R00056,U1192,P2001,Hotel,CityLights,Miami,4,"Para ser Hotel, CityLights resultó duradero. Destaco talla, aunque ubicación no fue ideal. Muy recomendado.",2023-07-17,1,0,522.06,0.27,positivo,"precio,devolución,talla",1,0,-1
R00057,U1368,P2111,Electrónica,Auralink,Panamá,1,"Probé Auralink en categoría Electrónica. Experiencia caro. atención bien, comodidad regular. Nunca más.",2023-02-25,2,1,6.75,0.1,negativo,"atención,ubicación,comodidad",0,1,-1
R00058,U1099,P2062,Hotel,Hotel Mar Azul,Puerto Plata,3,"Probé Hotel Mar Azul en categoría Hotel. Experiencia correcto. devolución bien, garantía regular. Podría mejorar.",2023-06-10,3,1,108.9,0.05,neutral,"sabor,batería,comodidad",0,1,8
R00059,U1102,P2136,Electrónica,Auralink,New York,2,El electrónica de Auralink es caro. La batería fue adecuada y la ubicación podría mejorar. No lo recomiendo.,2023-03-02,3,0,89.43,0.35,negativo,"devolución,comodidad,precio",0,2,25
R00060,U1264,P2069,Hotel,Hotel Mar Azul,Santiago de los Caballeros,4,"Probé Hotel Mar Azul en categoría Hotel. Experiencia rápido. ubicación bien, comodidad regular. Superó mis expectativas.",2024-07-19,3,1,136.48,0.32,positivo,"calidad,garantía,devolución",1,1,-1
R00061,U1113,P2029,Ropa,Fit&Go,Santiago de los Caballeros,4,"Probé Fit&Go en categoría Ropa. Experiencia amable. higiene bien, comodidad regular. Lo volvería a comprar.",2023-12-03,2,1,22.19,0.1,positivo,"ubicación,sabor,envío",1,1,0
R00062,U1191,P2020,Supermercado,MaxiMarket,Panamá,3,"Para ser Supermercado, MaxiMarket resultó aceptable. Destaco devolución, aunque precio no fue ideal. Nada especial.",2024-05-07,3,0,55.43,0.01,neutral,"atención,envío,sabor",0,0,-1
R00063,U1241,P2019,Hotel,EcoStay,San Juan,4,Compré en EcoStay (Hotel). Me pareció económico; envío y precio fueron determinantes. Cinco estrellas.,2024-03-08,0,0,82.23,0.05,positivo,"talla,precio,ubicación",1,1,0
R00064,U1076,P2108,Restaurante,El Asadero,Santo Domingo,2,El restaurante de El Asadero es débil. La calidad fue adecuada y la sabor podría mejorar. Nunca más.,2023-02-17,3,0,121.0,0.41,negativo,"wifi,talla,comodidad",0,2,9
R00065,U1122,P2024,Restaurante,El Asadero,Miami,1,El restaurante de El Asadero es defectuoso. La calidad fue adecuada y la wifi podría mejorar. No lo recomiendo.,2023-05-28,1,1,40.68,0.22,negativo,"higiene,batería,comodidad",0,2,9
R00066,U1263,P2124,Ropa,UrbanWear,Puerto Plata,3,"Probé UrbanWear en categoría Ropa. Experiencia estándar. envío bien, batería regular. Podría mejorar.",2024-02-14,6,0,10.49,0.03,neutral,"comodidad,atención,precio",0,1,0
R00067,U1340,P2034,Supermercado,Frescura,Ciudad de México,2,El supermercado de Frescura es sucio. La wifi fue adecuada y la comodidad podría mejorar. No lo recomiendo.,2023-08-11,3,0,170.16,0.06,negativo,"batería,calidad,wifi",0,2,22
R00068,U1240,P2146,Restaurante,El Asadero,Bogotá,2,El restaurante de El Asadero es sucio. La talla fue adecuada y la envío podría mejorar. No cumple lo prometido.,2023-02-18,1,0,64.5,0.02,negativo,"envío,batería,higiene",0,2,9
R00069,U1123,P2103,Ropa,EcoThread,Lima,3,"Para ser Ropa, EcoThread resultó aceptable. Destaco talla, aunque sabor no fue ideal. Ni bien ni mal.",2024-01-07,2,5,34.04,0.04,neutral,"talla,batería,devolución",0,0,4
R00070,U1173,P2052,Supermercado,EcoMarket,New York,5,El supermercado de EcoMarket es económico. La batería fue adecuada y la precio podría mejorar. Vale cada peso.,2024-06-27,1,0,40.45,0.05,positivo,"batería,precio,devolución",1,2,13
R00071,U1397,P2009,Restaurante,El Asadero,Panamá,4,"Para ser Restaurante, El Asadero resultó cómodo. Destaco devolución, aunque atención no fue ideal. Lo volvería a comprar.",2023-06-07,4,1,51.42,0.43,positivo,"ubicación,envío,garantía",1,0,-1
R00072,U1158,P2111,Electrónica,Auralink,San Juan,4,"Para ser Electrónica, Auralink resultó económico. Destaco envío, aunque talla no fue ideal. Superó mis expectativas.",2023-05-06,1,2,31.82,0.03,positivo,"wifi,higiene,devolución",1,0,7
R00073,U1399,P2087,Ropa,UrbanWear,New York,2,"Probé UrbanWear en categoría Ropa. Experiencia caro. devolución bien, sabor regular. No lo recomiendo.",2023-09-23,2,2,27.7,0.1,negativo,"envío,batería,sabor",0,1,0
R00074,U1225,P2107,Ropa,Fit&Go,New York,4,El ropa de Fit&Go es económico. La sabor fue adecuada y la comodidad podría mejorar. Vale cada peso.,2024-01-10,1,2,53.05,0.01,positivo,"higiene,sabor,precio",1,2,-1
R00075,U1217,P2100,Hotel,Andes Inn,Miami,5,"Para ser Hotel, Andes Inn resultó rápido. Destaco garantía, aunque higiene no fue ideal. Cinco estrellas.",2024-02-14,1,0,93.0,0.16,positivo,"calidad,higiene,comodidad",1,0,-1
R00076,U1151,P2149,Electrónica,Photonix,Santo Domingo,3,"Probé Photonix en categoría Electrónica. Experiencia esperado. precio bien, devolución regular. Podría mejorar.",2023-09-10,2,1,41.28,0.03,neutral,"garantía,ubicación,comodidad",0,1,0
R00077,U1372,P2013,Ropa,EcoThread,Lima,5,"Para ser Ropa, EcoThread resultó delicioso. Destaco calidad, aunque talla no fue ideal. Lo volvería a comprar.",2024-05-21,0,0,75.48,0.17,positivo,"sabor,comodidad,higiene",1,0,10
R00078,U1383,P2145,Ropa,EcoThread,Madrid,3,El ropa de EcoThread es promedio. La batería fue adecuada y la ubicación podría mejorar. Ni bien ni mal.,2023-02-21,1,0,29.45,0.13,neutral,"batería,precio,envío",0,2,-1
R00079,U1398,P2040,Hotel,EcoStay,Bogotá,2,"Probé EcoStay en categoría Hotel. Experiencia grosero. envío bien, batería regular. No valió la pena.",2023-06-16,2,0,251.89,0.24,negativo,"batería,sabor,talla",0,1,-1
R00080,U1190,P2097,Hotel,CityLights,Madrid,3,"Para ser Hotel, CityLights resultó promedio. Destaco sabor, aunque ubicación no fue ideal. Ni bien ni mal.",2024-03-30,1,0,541.34,0.08,neutral,"ubicación,calidad,comodidad",0,0,4
R00081,U1058,P2082,Restaurante,El Asadero,New York,1,"Para ser Restaurante, El Asadero resultó defectuoso. Destaco higiene, aunque comodidad no fue ideal. No valió la pena.",2024-06-20,1,2,35.75,0.13,negativo,"envío,talla,precio",0,0,-1
R00082,U1228,P2085,Ropa,UrbanWear,Buenos Aires,3,El ropa de UrbanWear es esperado. La atención fue adecuada y la calidad podría mejorar. Podría mejorar.,2024-01-10,2,3,27.75,0.06,neutral,"atención,comodidad,garantía",0,2,-1
R00083,U1088,P2122,Ropa,Fit&Go,Panamá,1,"Para ser Ropa, Fit&Go resultó sucio. Destaco talla, aunque calidad no fue ideal. No cumple lo prometido.",2024-01-22,1,0,33.2,0.09,negativo,"talla,ubicación,calidad",0,0,2
R00084,U1153,P2137,Hotel,Andes Inn,Atlanta,3,Compré en Andes Inn (Hotel). Me pareció promedio; wifi y atención fueron determinantes. Nada especial.,2023-05-13,1,0,157.91,0.04,neutral,"precio,talla,batería",0,1,-1
R00085,U1071,P2014,Supermercado,EcoMarket,Quito,2,Compré en EcoMarket (Supermercado). Me pareció sucio; comodidad y sabor fueron determinantes. No valió la pena.,2023-02-18,2,3,70.99,0.1,negativo,"atención,ubicación,envío",0,1,0
R00086,U1044,P2043,Ropa,Fit&Go,Puerto Plata,3,El ropa de Fit&Go es esperado. La wifi fue adecuada y la higiene podría mejorar. Podría mejorar.,2023-10-04,4,3,18.1,0.03,neutral,"calidad,garantía,higiene",0,2,-1
R00087,U1162,P2075,Supermercado,MercadoPlus,Atlanta,3,Compré en MercadoPlus (Supermercado). Me pareció correcto; sabor y precio fueron determinantes. Ni bien ni mal.,2023-11-08,0,1,66.47,0.21,neutral,"batería,calidad,ubicación",0,1,1
R00088,U1066,P2130,Hotel,Sueño Real,Panamá,2,"Para ser Hotel, Sueño Real resultó terrible. Destaco precio, aunque sabor no fue ideal. No valió la pena.",2024-01-07,1,0,345.37,0.11,negativo,"higiene,wifi,envío",0,0,-1
R00089,U1363,P2016,Ropa,ClassicLine,Puerto Plata,2,"Para ser Ropa, ClassicLine resultó caro. Destaco garantía, aunque atención no fue ideal. No lo recomiendo.",2023-12-21,2,0,69.65,0.13,negativo,"atención,sabor,wifi",0,0,0
R00090,U1320,P2106,Supermercado,MercadoPlus,Puerto Plata,5,Compré en MercadoPlus (Supermercado). Me pareció maravilloso; batería y precio fueron determinantes. Cinco estrellas.,2024-01-01,2,0,51.2,0.05,positivo,"garantía,comodidad,wifi",1,1,0
R00091,U1337,P2091,Ropa,ClassicLine,Miami,3,"Para ser Ropa, ClassicLine resultó estándar. Destaco envío, aunque calidad no fue ideal. Ni bien ni mal.",2023-07-19,1,0,8.83,0.07,neutral,"comodidad,talla,devolución",0,0,4
R00092,U1107,P2060,Ropa,Fit&Go,Buenos Aires,4,"Para ser Ropa, Fit&Go resultó duradero. Destaco ubicación, aunque talla no fue ideal. Lo volvería a comprar.",2024-05-04,1,1,7.01,0.11,positivo,"devolución,comodidad,higiene",1,0,-1
R00093,U1125,P2125,Hotel,EcoStay,Ciudad de México,3,"Probé EcoStay en categoría Hotel. Experiencia estándar. calidad bien, devolución regular. Podría mejorar.",2024-03-08,0,0,293.46,0.04,neutral,"devolución,batería,higiene",0,1,0
R00094,U1247,P2082,Restaurante,El Asadero,Ciudad de México,3,"Para ser Restaurante, El Asadero resultó normal. Destaco sabor, aunque devolución no fue ideal. Cumple lo básico.",2024-05-17,4,2,37.61,0.07,neutral,"ubicación,atención,sabor",0,0,-1
R00095,U1066,P2135,Electrónica,Auralink,Buenos Aires,5,"Para ser Electrónica, Auralink resultó potente. Destaco sabor, aunque atención no fue ideal. Lo volvería a comprar.",2023-03-08,1,2,59.43,0.15,positivo,"devolución,sabor,wifi",1,0,11
R00096,U1126,P2084,Electrónica,VoltPro,San Juan,3,Compré en VoltPro (Electrónica). Me pareció estándar; comodidad y higiene fueron determinantes. Podría mejorar.,2023-08-11,4,0,15.11,0.2,neutral,"precio,calidad,envío",0,1,0
R00097,U1167,P2030,Electrónica,TecnoMax,Buenos Aires,2,"Para ser Electrónica, TecnoMax resultó incómodo. Destaco ubicación, aunque comodidad no fue ideal. Experiencia decepcionante.",2023-11-20,2,0,9.86,0.22,negativo,"comodidad,talla,sabor",0,0,-1
R00098,U1011,P2118,Electrónica,VoltPro,Barcelona,5,El electrónica de VoltPro es económico. La atención fue adecuada y la batería podría mejorar. Muy recomendado.,2023-04-14,0,0,29.14,0.04,positivo,"calidad,higiene,wifi",1,2,-1
R00099,U1253,P2127,Ropa,EcoThread,Puerto Plata,2,"Probé EcoThread en categoría Ropa. Experiencia defectuoso. wifi bien, envío regular. No cumple lo prometido.",2024-03-28,2,1,15.04,0.1,negativo,"comodidad,batería,talla",0,1,0
R00100,U1135,P2130,Hotel,Sueño Real,Bogotá,3,Compré en Sueño Real (Hotel). Me pareció estándar; higiene y envío fueron determinantes. Está bien por el precio.,2023-01-22,2,0,267.79,0.15,neutral,"talla,sabor,higiene",0,1,12
R00101,U1283,P2045,Supermercado,EcoMarket,Puerto Plata,4,El supermercado de EcoMarket es potente. La devolución fue adecuada y la wifi podría mejorar. Vale cada peso.,2024-04-04,4,1,12.14,0.07,positivo,"garantía,calidad,higiene",1,2,13
R00102,U1049,P2115,Restaurante,Cafeto,Lima,3,"Probé Cafeto en categoría Restaurante. Experiencia normal. devolución bien, precio regular. Nada especial.",2023-07-18,1,2,35.75,0.02,neutral,"higiene,sabor,talla",0,1,0
R00103,U1020,P2038,Restaurante,Sabores Doña Ana,Quito,3,Compré en Sabores Doña Ana (Restaurante). Me pareció esperado; devolución y ubicación fueron determinantes. Nada especial.,2023-02-12,1,2,51.24,0.19,neutral,"envío,devolución,precio",0,1,0
R00104,U1263,P2049,Hotel,EcoStay,Quito,5,"Para ser Hotel, EcoStay resultó limpio. Destaco higiene, aunque batería no fue ideal. Muy recomendado.",2023-02-18,1,0,236.03,0.19,positivo,"precio,sabor,comodidad",1,0,-1
R00105,U1172,P2066,Supermercado,MaxiMarket,Bogotá,2,"Para ser Supermercado, MaxiMarket resultó defectuoso. Destaco garantía, aunque wifi no fue ideal. No valió la pena.",2023-08-06,3,2,42.02,0.03,negativo,"wifi,devolución,talla",0,0,-1
R00106,U1344,P2009,Restaurante,El Asadero,New York,4,Compré en El Asadero (Restaurante). Me pareció delicioso; comodidad y ubicación fueron determinantes. Lo volvería a comprar.,2023-06-06,2,1,34.31,0.18,positivo,"calidad,higiene,comodidad",1,1,0
R00107,U1026,P2081,Electrónica,VoltPro,Santo Domingo,3,Compré en VoltPro (Electrónica). Me pareció normal; devolución y higiene fueron determinantes. Ni bien ni mal.,2024-03-13,0,1,94.52,0.06,neutral,"comodidad,ubicación,precio",0,1,1
R00108,U1293,P2131,Electrónica,Photonix,Ciudad de México,4,Compré en Photonix (Electrónica). Me pareció excelente; sabor y ubicación fueron determinantes. Vale cada peso.,2024-03-21,3,0,6.77,0.15,positivo,"talla,calidad,atención",1,1,0
R00109,U1256,P2026,Electrónica,TecnoMax,Lima,1,"Probé TecnoMax en categoría Electrónica. Experiencia malo. wifi bien, atención regular. Experiencia decepcionante.",2024-04-21,3,3,47.75,0.15,negativo,"devolución,comodidad,ubicación",0,1,-1
R00110,U1192,P2112,Ropa,ClassicLine,Quito,3,"Para ser Ropa, ClassicLine resultó normal. Destaco wifi, aunque sabor no fue ideal. Nada especial.",2024-07-05,1,0,87.01,0.04,neutral,"sabor,precio,ubicación",0,0,-1
